============================================================
  Parallel BigCrush -- perfect_random
  Tests: 106  x  2 (fwd+rev)  =  212 tasks
  Workers: 5  Seed: 49  Period: 73.8
  Repeats: 1
============================================================
  [OK]   #  3 FWD  smarsa_CollisionOver N=30 n=2e7 r=0 d=2^21 t=2  (284s)
  [OK]   # 46 REV  sknuth_MaxOft N=40 n=1e7 r=0 d=1e5 t=8  (15397s)
  [OK]   # 45 REV  sknuth_CollisionPermut N=20 n=2e7 r=10 t=14  (15761s)
  [OK]   # 47 FWD  sknuth_MaxOft N=30 n=1e7 r=0 d=1e5 t=16  (16052s)
  [OK]   # 47 REV  sknuth_MaxOft N=30 n=1e7 r=0 d=1e5 t=16  (16192s)
  [OK]   # 48 FWD  sknuth_MaxOft N=20 n=1e7 r=0 d=1e5 t=24  (16348s)
  [OK]   # 48 REV  sknuth_MaxOft N=20 n=1e7 r=0 d=1e5 t=24  (16395s)
  [OK]   # 50 FWD  svaria_SampleProd N=40 n=1e7 r=0 t=8  (16879s)
  [OK]   # 50 REV  svaria_SampleProd N=40 n=1e7 r=0 t=8  (17033s)
  [OK]   # 51 FWD  svaria_SampleProd N=20 n=1e7 r=0 t=16  (17057s)
  [OK]   # 49 FWD  sknuth_MaxOft N=20 n=1e7 r=0 d=1e5 t=32  (17078s)
  [OK]   # 53 FWD  svaria_SampleMean N=2e7 n=30 r=0  (17204s)
  [OK]   # 53 REV  svaria_SampleMean N=2e7 n=30 r=0  (17330s)
  [OK]   # 49 REV  sknuth_MaxOft N=20 n=1e7 r=0 d=1e5 t=32  (17363s)
  [OK]   # 54 FWD  svaria_SampleMean N=2e7 n=30 r=10  (17458s)
  [OK]   # 54 REV  svaria_SampleMean N=2e7 n=30 r=10  (17490s)
  [OK]   # 51 REV  svaria_SampleProd N=20 n=1e7 r=0 t=16  (17543s)
  [OK]   # 55 FWD  svaria_SampleCorr N=1 n=2e9 r=0 k=1  (17866s)
  [OK]   # 55 REV  svaria_SampleCorr N=1 n=2e9 r=0 k=1  (17899s)
  [OK]   # 56 FWD  svaria_SampleCorr N=1 n=2e9 r=0 k=2  (17950s)
  [OK]   # 52 FWD  svaria_SampleProd N=20 n=1e7 r=0 t=24  (18021s)
  [OK]   # 52 REV  svaria_SampleProd N=20 n=1e7 r=0 t=24  (18052s)
  [OK]   # 56 REV  svaria_SampleCorr N=1 n=2e9 r=0 k=2  (18274s)
  [OK]   # 57 FWD  svaria_AppearanceSpacings N=1 Q=1e7 K=1e9 r=0 s=3 L=15  (18934s)
  [OK]   # 57 REV  svaria_AppearanceSpacings N=1 Q=1e7 K=1e9 r=0 s=3 L=15  (18993s)
  [OK]   # 58 FWD  svaria_AppearanceSpacings N=1 Q=1e7 K=1e9 r=27 s=3 L=15  (19055s)
  [OK]   # 58 REV  svaria_AppearanceSpacings N=1 Q=1e7 K=1e9 r=27 s=3 L=15  (19091s)
  [OK]   # 59 FWD  svaria_WeightDistrib N=1 n=2e7 r=0 k=256 a=0 b=1/4  (19304s)
