Логи трех прогонов: 512Мб,1Гб,2Гб,4Гб,8Гб,16Гб,32Гб,64Гб,128Гб.

32Мб,64Мб,128Мб,256Мб FAILED

C:\Users\User\rand>dieharder.exe -a -g 201 -f 512r.bin
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                        512r.bin|  5.73e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  29|   1000000|     100|0.07277465|  PASSED
# The file file_input_raw was rewound 407 times
      rgb_lagged_sum|  30|   1000000|     100|0.44064622|  PASSED
# The file file_input_raw was rewound 431 times
      rgb_lagged_sum|  31|   1000000|     100|0.00001926|   WEAK
# The file file_input_raw was rewound 456 times
      rgb_lagged_sum|  32|   1000000|     100|0.06542528|  PASSED
# The file file_input_raw was rewound 456 times
     rgb_kstest_test|   0|     10000|    1000|0.37131460|  PASSED
# The file file_input_raw was rewound 457 times
     dab_bytedistrib|   0|  51200000|       1|0.04862186|  PASSED
# The file file_input_raw was rewound 457 times
             dab_dct| 256|     50000|       1|0.99399898|  PASSED
Preparing to run test 207.  ntuple = 0
# The file file_input_raw was rewound 458 times
        dab_filltree|  32|  15000000|       1|0.38700916|  PASSED
        dab_filltree|  32|  15000000|       1|0.54719290|  PASSED
Preparing to run test 208.  ntuple = 0
# The file file_input_raw was rewound 458 times
       dab_filltree2|   0|   5000000|       1|0.99828102|   WEAK
       dab_filltree2|   1|   5000000|       1|0.00860653|  PASSED
Preparing to run test 209.  ntuple = 0
# The file file_input_raw was rewound 459 times
        dab_monobit2|  12|  65000000|       1|0.77476760|  PASSED


C:\Users\User\rand>dieharder.exe -a -g 201 -f 1r.bin
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                          1r.bin|  5.68e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.98194993|  PASSED
      diehard_operm5|   0|   1000000|     100|0.24828810|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.33665934|  PASSED
# The file file_input_raw was rewound 1 times
