C:\Users\User\rand>dieharder.exe -a -g 201 -f kmsh.bin
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                        kmsh.bin|  5.68e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
# The file file_input_raw was rewound 11 times
      rgb_lagged_sum|  27|   1000000|     100|0.49971305|  PASSED
# The file file_input_raw was rewound 11 times
      rgb_lagged_sum|  28|   1000000|     100|0.62899198|  PASSED
# The file file_input_raw was rewound 12 times
      rgb_lagged_sum|  29|   1000000|     100|0.76416018|  PASSED
# The file file_input_raw was rewound 13 times
      rgb_lagged_sum|  30|   1000000|     100|0.90617654|  PASSED
# The file file_input_raw was rewound 14 times
      rgb_lagged_sum|  31|   1000000|     100|0.15971810|  PASSED
# The file file_input_raw was rewound 14 times
      rgb_lagged_sum|  32|   1000000|     100|0.66749919|  PASSED
# The file file_input_raw was rewound 14 times
     rgb_kstest_test|   0|     10000|    1000|0.28657667|  PASSED
# The file file_input_raw was rewound 14 times
     dab_bytedistrib|   0|  51200000|       1|0.74658309|  PASSED
# The file file_input_raw was rewound 14 times
             dab_dct| 256|     50000|       1|0.02841905|  PASSED
Preparing to run test 207.  ntuple = 0
# The file file_input_raw was rewound 14 times
        dab_filltree|  32|  15000000|       1|0.54978668|  PASSED
        dab_filltree|  32|  15000000|       1|0.51568909|  PASSED
Preparing to run test 208.  ntuple = 0
# The file file_input_raw was rewound 14 times
       dab_filltree2|   0|   5000000|       1|0.71605093|  PASSED
       dab_filltree2|   1|   5000000|       1|0.94679065|  PASSED
Preparing to run test 209.  ntuple = 0
# The file file_input_raw was rewound 14 times
        dab_monobit2|  12|  65000000|       1|0.10241921|  PASSED
